t:game number,to:game number,t:abbreviation,to:abbreviation,t:rest,to:rest,t:goals,to:goals,t:line,to:line,t:wins,t:losses,to:wins,to:losses,t:matchup wins,t:matchup losses,t:period scores,to:period scores,H
2,2,MON,WAS,1,1,1,6,128,-138,1,0,1,0,0,0,"[0, 1, 0]","[4, 2, 0]",False
1,2,CAR,MIN,-,1,5,4,-133,123,0,0,0,1,0,0,"[1, 1, 2, 0, 1]","[2, 1, 1, 0, 0]",True
2,1,MIN,CAR,1,-,4,5,123,-133,0,1,0,0,0,0,"[2, 1, 1, 0, 0]","[1, 1, 2, 0, 1]",False
2,2,STL,DAL,2,0,4,2,-135,125,1,0,0,1,0,0,"[3, 0, 1]","[0, 0, 2]",True
2,2,DAL,STL,0,2,2,4,125,-135,0,1,1,0,0,0,"[0, 0, 2]","[3, 0, 1]",False
2,2,CHI,CLB,1,0,5,1,-139,129,1,0,1,0,0,0,"[2, 2, 1]","[0, 1, 0]",True
2,2,CLB,CHI,0,1,1,5,129,-139,1,0,1,0,0,0,"[0, 1, 0]","[2, 2, 1]",False
2,2,ARI,VEG,1,0,1,2,-168,158,0,1,1,0,0,0,"[1, 0, 0, 0]","[0, 0, 1, 1]",True
2,2,VEG,ARI,0,1,2,1,158,-168,1,0,0,1,0,0,"[0, 0, 1, 1]","[1, 0, 0, 0]",False
1,2,VAN,EDM,-,2,3,2,136,-146,0,0,1,0,0,0,"[2, 1, 0]","[1, 0, 1]",True
2,1,EDM,VAN,2,-,2,3,-146,136,1,0,0,0,0,0,"[1, 0, 1]","[2, 1, 0]",False
2,3,ANA,PHI,1,1,2,3,-125,115,1,0,1,1,0,0,"[1, 0, 1, 0]","[1, 1, 0, 1]",True
3,2,PHI,ANA,1,1,3,2,115,-125,1,1,1,0,0,0,"[1, 1, 0, 1]","[1, 0, 1, 0]",False
2,2,CAL,WIN,2,2,6,3,-120,110,0,1,0,1,0,0,"[1, 4, 1]","[3, 0, 0]",True
2,2,WIN,CAL,2,2,3,6,110,-120,0,1,0,1,0,0,"[3, 0, 0]","[1, 4, 1]",False
2,2,SJ,LA,2,1,1,4,-129,119,0,1,1,0,0,0,"[1, 0, 0]","[2, 2, 0]",True
2,2,LA,SJ,1,2,4,1,119,-129,1,0,0,1,0,0,"[2, 2, 0]","[1, 0, 0]",False
3,3,NYR,MON,0,0,2,0,-125,113,0,2,1,1,0,0,"[1, 0, 1]","[0, 0, 0]",True
3,3,MON,NYR,0,0,0,2,113,-125,1,1,0,2,0,0,"[0, 0, 0]","[1, 0, 1]",False
2,3,BOS,COL,3,1,0,4,-185,170,1,0,1,1,0,0,"[0, 0, 0]","[2, 0, 2]",True
3,2,COL,BOS,1,3,4,0,170,-185,1,1,1,0,0,0,"[2, 0, 2]","[0, 0, 0]",False
3,3,NYI,STL,1,1,2,3,-120,110,1,1,2,0,0,0,"[0, 0, 2, 0, 0]","[0, 2, 0, 0, 1]",True
3,3,STL,NYI,1,1,3,2,110,-120,2,0,1,1,0,0,"[0, 2, 0, 0, 1]","[0, 0, 2, 0, 0]",False
3,2,BUF,NJ,1,1,2,6,-135,125,0,2,1,0,0,0,"[0, 1, 1]","[2, 4, 0]",True
2,3,NJ,BUF,1,1,6,2,125,-135,1,0,0,2,0,0,"[2, 4, 0]","[0, 1, 1]",False
3,3,TOR,CHI,1,1,4,3,-150,140,2,0,2,0,0,0,"[0, 1, 2, 1]","[2, 0, 1, 0]",True
3,3,CHI,TOR,1,1,3,4,140,-150,2,0,2,0,0,0,"[2, 0, 1, 0]","[0, 1, 2, 1]",False
3,3,TB,WAS,1,1,4,3,-117,107,1,1,2,0,0,0,"[0, 2, 1, 1]","[2, 1, 0, 0]",True
3,3,WAS,TB,1,1,3,4,107,-117,2,0,1,1,0,0,"[2, 1, 0, 0]","[0, 2, 1, 1]",False
3,3,EDM,WIN,1,1,2,5,-155,145,1,1,0,2,0,0,"[0, 2, 0]","[2, 2, 1]",True
3,3,WIN,EDM,1,1,5,2,145,-155,0,2,1,1,0,0,"[2, 2, 1]","[0, 2, 0]",False
3,3,ANA,CAL,1,1,0,2,-118,108,1,1,1,1,0,0,"[0, 0, 0]","[0, 1, 1]",True
3,3,CAL,ANA,1,1,2,0,108,-118,1,1,1,1,0,0,"[0, 1, 1]","[0, 0, 0]",False
4,4,NYR,STL,1,0,1,3,-155,145,1,2,3,0,0,0,"[1, 0, 0]","[2, 0, 1]",True
4,4,STL,NYR,0,1,3,1,145,-155,3,0,1,2,0,0,"[2, 0, 1]","[1, 0, 0]",False
2,3,CAR,CLB,2,2,1,2,-129,119,1,0,1,1,0,0,"[0, 0, 1, 0]","[0, 0, 1, 1]",True
3,2,CLB,CAR,2,2,2,1,119,-129,1,1,1,0,0,0,"[0, 0, 1, 1]","[0, 0, 1, 0]",False
4,4,MON,CHI,1,0,1,3,-130,120,1,2,2,1,0,0,"[1, 0, 0]","[2, 1, 0]",True
4,4,CHI,MON,0,1,3,1,120,-130,2,1,1,2,0,0,"[2, 1, 0]","[1, 0, 0]",False
3,4,NAS,PHI,2,2,6,5,-140,130,0,2,2,1,0,0,"[1, 2, 3]","[0, 3, 2]",True
4,3,PHI,NAS,2,2,5,6,130,-140,2,1,0,2,0,0,"[0, 3, 2]","[1, 2, 3]",False
3,3,DAL,DET,2,2,4,2,-170,160,0,2,2,0,0,0,"[2, 1, 1]","[0, 1, 1]",True
3,3,DET,DAL,2,2,2,4,160,-170,2,0,0,2,0,0,"[0, 1, 1]","[2, 1, 1]",False
2,3,VAN,OTT,2,2,2,3,-105,-105,1,0,0,2,0,0,"[1, 1, 0, 0, 0]","[1, 0, 1, 0, 1]",True
3,2,OTT,VAN,2,2,3,2,-105,-105,0,2,1,0,0,0,"[1, 0, 1, 0, 1]","[1, 1, 0, 0, 0]",False
3,3,VEG,ARI,2,2,5,2,-105,-105,2,0,0,2,1,0,"[4, 1, 0]","[1, 0, 1]",True
3,3,ARI,VEG,2,2,2,5,-105,-105,0,2,2,0,0,1,"[1, 0, 1]","[4, 1, 0]",False
4,3,TOR,NJ,1,1,3,6,-193,178,3,0,2,0,0,0,"[2, 0, 1]","[2, 2, 2]",True
3,4,NJ,TOR,1,1,6,3,178,-193,2,0,3,0,0,0,"[2, 2, 2]","[2, 0, 1]",False
4,4,WAS,PIT,1,3,2,3,-125,115,2,1,1,2,0,0,"[0, 1, 1]","[1, 1, 1]",True
4,4,PIT,WAS,3,1,3,2,115,-125,1,2,2,1,0,0,"[1, 1, 1]","[0, 1, 1]",False
