season,t:game number,to:game number,t:abbreviation,to:abbreviation,t:rest,to:rest,t:goals,to:goals,shoot out,t:line,to:line,t:wins,to:wins,t:losses,to:losses,t:matchup wins,t:matchup losses,H,t.period.scores0,t.period.scores1,t.period.scores2,t.period.scores3,t.period.scores4,to.period.scores0,to.period.scores1,to.period.scores2,to.period.scores3,to.period.scores4
2016.0,73.0,74.0,LA,WIN,2,1,5,2,-,-168,158,34.0,33.0,38.0,40.0,1.0,1.0,True,1,1,3,-,-,2,0,0,-,-
2016.0,74.0,73.0,WIN,LA,1,2,2,5,-,158,-168,33.0,34.0,40.0,38.0,1.0,1.0,False,2,0,0,-,-,1,1,3,-,-
2016.0,74.0,73.0,PIT,NYI,0,1,3,4,1,-185,170,46.0,34.0,27.0,38.0,2.0,1.0,True,0,2,1,0,0,0,3,0,0,1
2016.0,73.0,74.0,NYI,PIT,1,0,4,3,1,170,-185,34.0,46.0,38.0,27.0,1.0,2.0,False,0,3,0,0,1,0,2,1,0,0
2016.0,73.0,74.0,DET,TB,2,0,1,2,-,-102,-108,29.0,35.0,43.0,38.0,0.0,3.0,True,0,1,0,0,-,0,0,1,1,-
2016.0,74.0,73.0,TB,DET,0,2,2,1,-,-108,-102,35.0,29.0,38.0,43.0,3.0,0.0,False,0,0,1,1,-,0,1,0,0,-
2016.0,74.0,74.0,DAL,SJ,0,2,6,1,-,140,-150,29.0,42.0,44.0,31.0,1.0,1.0,True,1,3,2,-,-,0,1,0,-,-
2016.0,74.0,74.0,SJ,DAL,2,0,1,6,-,-150,140,42.0,29.0,31.0,44.0,1.0,1.0,False,0,1,0,-,-,1,3,2,-,-
2016.0,74.0,75.0,ANA,WIN,1,0,3,1,-,-220,200,39.0,33.0,34.0,41.0,1.0,0.0,True,1,1,1,-,-,0,1,0,-,-
2016.0,75.0,74.0,WIN,ANA,0,1,1,3,-,200,-220,33.0,39.0,41.0,34.0,0.0,1.0,False,0,1,0,-,-,1,1,1,-,-
2016.0,74.0,74.0,MIN,VAN,1,1,2,4,-,-265,245,44.0,29.0,29.0,44.0,1.0,1.0,True,0,0,2,-,-,0,4,0,-,-
2016.0,74.0,74.0,VAN,MIN,1,1,4,2,-,245,-265,29.0,44.0,44.0,29.0,1.0,1.0,False,0,4,0,-,-,0,0,2,-,-
