game_num,abbrev,opp_abbrev,goals,opp_goals,line,opp_line,wins,losses,matchup_wins,matchup_losses,period_scores,opp_period_scores,home_ind
2,STL,DAL,4,2,-135,125,1,0,0,0,"[3, 0, 1]","[0, 0, 2]",TRUE
2,DAL,STL,2,4,125,-135,0,1,0,0,"[0, 0, 2]","[3, 0, 1]",FALSE
2,CHI,CLB,5,1,-139,129,1,0,0,0,"[2, 2, 1]","[0, 1, 0]",TRUE
2,CLB,CHI,1,5,129,-139,1,0,0,0,"[0, 1, 0]","[2, 2, 1]",FALSE
2,ARI,VEG,1,2,-168,158,0,1,0,0,"[1, 0, 0, 0]","[0, 0, 1, 1]",TRUE
2,VEG,ARI,2,1,158,-168,1,0,0,0,"[0, 0, 1, 1]","[1, 0, 0, 0]",FALSE
2,EDM,VAN,2,3,-146,136,1,0,0,0,"[1, 0, 1]","[2, 1, 0]",FALSE
2,ANA,PHI,2,3,-125,115,1,0,0,0,"[1, 0, 1, 0]","[1, 1, 0, 1]",TRUE
2,CAL,WIN,6,3,-120,110,0,1,0,0,"[1, 4, 1]","[3, 0, 0]",TRUE
2,WIN,CAL,3,6,110,-120,0,1,0,0,"[3, 0, 0]","[1, 4, 1]",FALSE
2,SJ,LA,1,4,-129,119,0,1,0,0,"[1, 0, 0]","[2, 2, 0]",TRUE
2,LA,SJ,4,1,119,-129,1,0,0,0,"[2, 2, 0]","[1, 0, 0]",FALSE
2,BOS,COL,0,4,-185,170,1,0,0,0,"[0, 0, 0]","[2, 0, 2]",TRUE
2,NJ,BUF,6,2,125,-135,1,0,0,0,"[2, 4, 0]","[0, 1, 1]",FALSE
2,CAR,CLB,1,2,-129,119,1,0,0,0,"[0, 0, 1, 0]","[0, 0, 1, 1]",TRUE
2,VAN,OTT,2,3,-105,-105,1,0,0,0,"[1, 1, 0, 0, 0]","[1, 0, 1, 0, 1]",TRUE
3,PIT,NAS,4,0,-145,135,0,2,0,0,"[2, 1, 1]","[0, 0, 0]",TRUE
3,PHI,ANA,3,2,115,-125,1,1,0,0,"[1, 1, 0, 1]","[1, 0, 1, 0]",FALSE
3,NYR,MON,2,0,-125,113,0,2,0,0,"[1, 0, 1]","[0, 0, 0]",TRUE
3,MON,NYR,0,2,113,-125,1,1,0,0,"[0, 0, 0]","[1, 0, 1]",FALSE
3,COL,BOS,4,0,170,-185,1,1,0,0,"[2, 0, 2]","[0, 0, 0]",FALSE
3,NYI,STL,2,3,-120,110,1,1,0,0,"[0, 0, 2, 0, 0]","[0, 2, 0, 0, 1]",TRUE
3,STL,NYI,3,2,110,-120,2,0,0,0,"[0, 2, 0, 0, 1]","[0, 0, 2, 0, 0]",FALSE
3,BUF,NJ,2,6,-135,125,0,2,0,0,"[0, 1, 1]","[2, 4, 0]",TRUE
3,TOR,CHI,4,3,-150,140,2,0,0,0,"[0, 1, 2, 1]","[2, 0, 1, 0]",TRUE
3,CHI,TOR,3,4,140,-150,2,0,0,0,"[2, 0, 1, 0]","[0, 1, 2, 1]",FALSE
3,TB,WAS,4,3,-117,107,1,1,0,0,"[0, 2, 1, 1]","[2, 1, 0, 0]",TRUE
3,WAS,TB,3,4,107,-117,2,0,0,0,"[2, 1, 0, 0]","[0, 2, 1, 1]",FALSE
3,EDM,WIN,2,5,-155,145,1,1,0,0,"[0, 2, 0]","[2, 2, 1]",TRUE
3,WIN,EDM,5,2,145,-155,0,2,0,0,"[2, 2, 1]","[0, 2, 0]",FALSE
3,ANA,CAL,0,2,-118,108,1,1,0,0,"[0, 0, 0]","[0, 1, 1]",TRUE
3,CAL,ANA,2,0,108,-118,1,1,0,0,"[0, 1, 1]","[0, 0, 0]",FALSE
3,CLB,CAR,2,1,119,-129,1,1,0,0,"[0, 0, 1, 1]","[0, 0, 1, 0]",FALSE
3,NAS,PHI,6,5,-140,130,0,2,0,0,"[1, 2, 3]","[0, 3, 2]",TRUE
3,DAL,DET,4,2,-170,160,0,2,0,0,"[2, 1, 1]","[0, 1, 1]",TRUE
3,DET,DAL,2,4,160,-170,2,0,0,0,"[0, 1, 1]","[2, 1, 1]",FALSE
3,OTT,VAN,3,2,-105,-105,0,2,0,0,"[1, 0, 1, 0, 1]","[1, 1, 0, 0, 0]",FALSE
3,VEG,ARI,5,2,-105,-105,2,0,1,0,"[4, 1, 0]","[1, 0, 1]",TRUE
3,ARI,VEG,2,5,-105,-105,0,2,0,1,"[1, 0, 1]","[4, 1, 0]",FALSE
3,NJ,TOR,6,3,178,-193,2,0,0,0,"[2, 2, 2]","[2, 0, 1]",FALSE
3,BOS,COL,3,6,-120,110,1,1,0,1,"[1, 0, 2]","[1, 3, 2]",FALSE
3,LA,CAL,3,4,-138,128,2,0,0,0,"[0, 1, 2, 0]","[2, 0, 1, 1]",TRUE
3,FLA,STL,5,2,-127,117,1,1,0,0,"[0, 3, 2]","[0, 1, 1]",TRUE
3,MIN,CHI,5,2,120,-130,0,2,0,0,"[0, 1, 4]","[0, 0, 2]",FALSE
3,VAN,WIN,2,4,117,-127,1,1,0,0,"[1, 0, 1]","[1, 2, 1]",TRUE
3,SJ,BUF,3,2,-168,158,0,2,0,0,"[2, 1, 0]","[1, 1, 0]",TRUE
3,CAR,WIN,1,2,105,-115,1,1,0,0,"[1, 0, 0]","[1, 0, 1]",FALSE
4,NYR,STL,1,3,-155,145,1,2,0,0,"[1, 0, 0]","[2, 0, 1]",TRUE
4,STL,NYR,3,1,145,-155,3,0,0,0,"[2, 0, 1]","[1, 0, 0]",FALSE
4,MON,CHI,1,3,-130,120,1,2,0,0,"[1, 0, 0]","[2, 1, 0]",TRUE
4,CHI,MON,3,1,120,-130,2,1,0,0,"[2, 1, 0]","[1, 0, 0]",FALSE
4,PHI,NAS,5,6,130,-140,2,1,0,0,"[0, 3, 2]","[1, 2, 3]",FALSE
4,TOR,NJ,3,6,-193,178,3,0,0,0,"[2, 0, 1]","[2, 2, 2]",TRUE
4,WAS,PIT,2,3,-125,115,2,1,0,0,"[0, 1, 1]","[1, 1, 1]",TRUE
4,PIT,WAS,3,2,115,-125,1,2,0,0,"[1, 1, 1]","[0, 1, 1]",FALSE
4,COL,BOS,6,3,110,-120,2,1,1,0,"[1, 3, 2]","[1, 0, 2]",TRUE
4,ANA,NYI,3,2,-122,112,1,2,0,0,"[1, 1, 1]","[1, 0, 1]",TRUE
4,NYI,ANA,2,3,112,-122,1,2,0,0,"[1, 0, 1]","[1, 1, 1]",FALSE
4,CAL,LA,4,3,128,-138,2,1,0,0,"[2, 0, 1, 1]","[0, 1, 2, 0]",FALSE
4,TB,PIT,5,4,-141,131,2,1,0,0,"[2, 3, 0]","[1, 2, 1]",TRUE
4,NAS,DAL,4,1,-123,113,1,2,0,0,"[0, 2, 2]","[1, 0, 0]",TRUE
4,DAL,NAS,1,4,113,-123,1,2,0,0,"[1, 0, 0]","[0, 2, 2]",FALSE
4,WIN,VAN,4,2,-127,117,1,2,0,0,"[1, 2, 1]","[1, 0, 1]",FALSE
4,ARI,DET,2,4,-123,113,0,3,0,0,"[0, 2, 0]","[0, 2, 2]",TRUE
4,DET,ARI,4,2,113,-123,2,1,0,0,"[0, 2, 2]","[0, 2, 0]",FALSE
4,BUF,SJ,2,3,158,-168,0,3,0,0,"[1, 1, 0]","[2, 1, 0]",FALSE
4,NJ,WAS,2,5,131,-141,3,0,0,0,"[0, 1, 1]","[1, 2, 2]",TRUE
4,CLB,NYR,3,1,-141,131,2,1,0,0,"[0, 1, 2]","[1, 0, 0]",TRUE
4,OTT,CAL,6,0,140,-150,1,2,0,0,"[1, 1, 4]","[0, 0, 0]",FALSE
4,VEG,DET,3,6,-135,125,3,0,0,0,"[0, 3, 0]","[1, 1, 4]",TRUE
4,FLA,PIT,3,4,156,-166,2,1,0,0,"[0, 2, 1]","[1, 2, 1]",FALSE
4,MIN,CLB,4,5,-110,100,1,2,0,0,"[1, 2, 1, 0]","[1, 1, 2, 1]",TRUE
4,BOS,ARI,6,2,-109,-101,1,2,0,0,"[1, 3, 2]","[1, 0, 1]",FALSE
4,VAN,CAL,2,5,-103,-107,1,2,0,0,"[1, 0, 1]","[1, 2, 2]",TRUE
4,EDM,OTT,1,6,-185,170,1,2,0,0,"[0, 0, 1]","[2, 1, 3]",TRUE
4,LA,BUF,4,2,-170,160,2,1,0,0,"[0, 1, 3]","[1, 0, 1]",TRUE
4,SJ,NYI,1,3,-125,115,1,2,0,0,"[1, 0, 0]","[1, 1, 1]",TRUE
4,CAR,EDM,5,3,115,-125,1,2,0,0,"[3, 0, 2]","[0, 1, 2]",FALSE
5,PIT,TB,4,5,131,-141,2,2,0,0,"[1, 2, 1]","[2, 3, 0]",FALSE
5,STL,FLA,2,5,117,-127,4,0,0,0,"[0, 1, 1]","[0, 3, 2]",FALSE
5,CHI,MIN,2,5,-130,120,3,1,0,0,"[0, 0, 2]","[0, 1, 4]",TRUE
5,WAS,NJ,5,2,-141,131,2,2,0,0,"[1, 2, 2]","[0, 1, 1]",FALSE
5,NYR,CLB,1,3,131,-141,1,3,0,0,"[1, 0, 0]","[0, 1, 2]",FALSE
5,COL,ANA,3,1,103,-113,3,1,0,0,"[1, 0, 2]","[0, 0, 1]",TRUE
5,ANA,COL,1,3,-113,103,2,2,0,0,"[0, 0, 1]","[1, 0, 2]",FALSE
5,CAL,OTT,0,6,-150,140,3,1,0,0,"[0, 0, 0]","[1, 1, 4]",TRUE
5,DET,VEG,6,3,125,-135,3,1,0,0,"[1, 1, 4]","[0, 3, 0]",FALSE
5,WIN,CAR,2,1,-115,105,2,2,0,0,"[1, 0, 1]","[1, 0, 0]",TRUE
5,MON,TOR,3,4,-112,102,1,3,0,0,"[2, 1, 0, 0]","[2, 1, 0, 1]",TRUE
5,TOR,MON,4,3,102,-112,3,1,0,0,"[2, 1, 0, 1]","[2, 1, 0, 0]",FALSE
5,TB,STL,2,1,-146,136,3,1,0,0,"[0, 1, 1]","[0, 0, 1]",TRUE
5,NJ,NYR,3,2,141,-151,3,1,0,0,"[0, 2, 1]","[0, 1, 1]",FALSE
5,PHI,WAS,8,2,-115,105,2,2,0,0,"[2, 3, 3]","[1, 1, 0]",TRUE
5,DAL,COL,3,1,-201,186,1,3,0,0,"[0, 2, 1]","[0, 0, 1]",TRUE
5,CLB,MIN,5,4,100,-110,3,1,0,0,"[1, 1, 2, 1]","[1, 2, 1, 0]",FALSE
5,NAS,CHI,1,2,120,-130,2,2,0,0,"[0, 1, 0, 0]","[0, 0, 1, 1]",FALSE
5,ARI,BOS,2,6,-101,-109,0,4,0,0,"[1, 0, 1]","[1, 3, 2]",TRUE
5,OTT,EDM,6,1,170,-185,2,2,0,0,"[2, 1, 3]","[0, 0, 1]",FALSE
5,BUF,LA,2,4,160,-170,0,4,0,0,"[1, 0, 1]","[0, 1, 3]",FALSE
5,NYI,SJ,3,1,115,-125,1,3,0,0,"[1, 1, 1]","[1, 0, 0]",FALSE
5,VEG,BOS,3,1,125,-135,3,1,0,0,"[0, 2, 1]","[0, 0, 1]",TRUE
5,BOS,VEG,1,3,-135,125,2,2,0,0,"[0, 0, 1]","[0, 2, 1]",FALSE
5,LA,NYI,3,2,-136,126,3,1,0,0,"[1, 1, 1]","[0, 1, 1]",TRUE
5,FLA,PHI,1,5,125,-135,2,2,0,0,"[0, 0, 1]","[0, 4, 1]",FALSE
5,VAN,OTT,3,0,170,-185,1,3,0,1,"[1, 1, 1]","[0, 0, 0]",FALSE
5,EDM,CAR,3,5,-125,115,1,3,0,0,"[0, 1, 2]","[3, 0, 2]",TRUE
5,SJ,MON,5,2,-121,111,1,3,0,0,"[1, 3, 1]","[1, 1, 0]",TRUE
5,CAR,CAL,2,1,111,-121,2,2,0,0,"[0, 1, 1]","[0, 0, 1]",FALSE
5,MIN,WIN,3,4,103,-113,1,3,0,0,"[1, 2, 0]","[2, 1, 1]",FALSE
6,STL,TB,1,2,136,-146,4,1,0,0,"[0, 0, 1]","[0, 1, 1]",FALSE
6,NYR,NJ,2,3,-151,141,1,4,0,0,"[0, 1, 1]","[0, 2, 1]",TRUE
6,WAS,PHI,2,8,105,-115,3,2,0,0,"[1, 1, 0]","[2, 3, 3]",FALSE
6,PIT,FLA,4,3,-166,156,2,3,0,0,"[1, 2, 1]","[0, 2, 1]",TRUE
6,COL,DAL,1,3,186,-201,4,1,0,0,"[0, 0, 1]","[0, 2, 1]",FALSE
6,CHI,NAS,2,1,-130,120,3,2,0,0,"[0, 0, 1, 1]","[0, 1, 0, 0]",TRUE
6,CAL,VAN,5,2,-107,-103,3,2,0,0,"[1, 2, 2]","[1, 0, 1]",FALSE
6,ANA,BUF,1,3,-150,140,2,3,0,0,"[0, 1, 0]","[1, 1, 1]",TRUE
6,BUF,ANA,3,1,140,-150,0,5,0,0,"[1, 1, 1]","[0, 1, 0]",FALSE
6,NYI,LA,2,3,126,-136,2,3,0,0,"[0, 1, 1]","[1, 1, 1]",FALSE
6,DET,TB,2,3,109,-119,4,1,0,0,"[0, 2, 0]","[2, 0, 1]",TRUE
6,TB,DET,3,2,-119,109,4,1,0,0,"[2, 0, 1]","[0, 2, 0]",FALSE
6,NJ,TB,5,4,-106,-104,4,1,0,0,"[3, 0, 1, 0, 1]","[2, 2, 0, 0, 0]",TRUE
6,PHI,FLA,5,1,-135,125,3,2,0,0,"[0, 4, 1]","[0, 0, 1]",TRUE
6,TOR,WAS,2,0,119,-129,4,1,0,0,"[0, 0, 2]","[0, 0, 0]",FALSE
6,OTT,VAN,0,3,-185,170,3,2,1,0,"[0, 0, 0]","[1, 1, 1]",TRUE
6,NAS,COL,4,1,-165,155,2,3,0,0,"[0, 3, 1]","[0, 1, 0]",TRUE
6,WIN,CLB,2,5,-113,103,3,2,0,0,"[0, 1, 1]","[0, 4, 1]",TRUE
6,CLB,WIN,5,2,103,-113,4,1,0,0,"[0, 4, 1]","[0, 1, 1]",FALSE
6,DAL,ARI,3,1,-207,189,2,3,0,0,"[1, 1, 1]","[0, 1, 0]",TRUE
6,ARI,DAL,1,3,189,-207,0,5,0,0,"[0, 1, 0]","[1, 1, 1]",FALSE
6,VEG,BUF,5,4,100,-110,4,1,0,0,"[1, 2, 1, 1]","[1, 0, 3, 0]",TRUE
6,MON,SJ,2,5,111,-121,1,4,0,0,"[1, 1, 0]","[1, 3, 1]",FALSE
6,LA,MON,5,1,-170,153,4,1,0,0,"[1, 0, 4]","[1, 0, 0]",TRUE
6,BOS,VAN,6,3,-169,159,2,3,0,0,"[4, 1, 1]","[1, 2, 0]",TRUE
6,VAN,BOS,3,6,159,-169,2,3,0,0,"[1, 2, 0]","[4, 1, 1]",FALSE
6,EDM,CHI,2,1,100,-110,1,4,0,0,"[1, 0, 0, 1]","[1, 0, 0, 0]",FALSE
6,SJ,NJ,3,0,-133,123,2,3,0,0,"[1, 2, 0]","[0, 0, 0]",FALSE
6,FLA,PIT,3,4,105,-115,2,3,0,1,"[2, 0, 1]","[0, 3, 1]",TRUE
6,CAR,DAL,3,4,115,-125,3,2,0,0,"[0, 1, 2]","[2, 2, 0]",FALSE
6,MIN,CAL,4,2,137,-147,1,4,0,0,"[0, 1, 3]","[0, 1, 1]",FALSE
7,TB,NJ,4,5,-104,-106,5,1,0,0,"[2, 2, 0, 0, 0]","[3, 0, 1, 0, 1]",FALSE
7,NYR,PIT,4,5,107,-117,1,5,0,0,"[0, 3, 1, 0]","[2, 1, 1, 1]",TRUE
7,PIT,NYR,5,4,-117,107,3,3,0,0,"[2, 1, 1, 1]","[0, 3, 1, 0]",FALSE
7,WAS,TOR,0,2,-129,119,3,3,0,0,"[0, 0, 0]","[0, 0, 2]",TRUE
7,COL,NAS,1,4,155,-165,4,2,0,0,"[0, 1, 0]","[0, 3, 1]",FALSE
7,BUF,VEG,4,5,-110,100,1,5,0,0,"[1, 0, 3, 0]","[1, 2, 1, 1]",FALSE
7,TOR,DET,6,3,-120,100,5,1,0,0,"[4, 1, 1]","[1, 2, 0]",TRUE
7,DET,TOR,3,6,100,-120,4,2,0,0,"[1, 2, 0]","[4, 1, 1]",FALSE
7,STL,CHI,5,2,-120,100,4,2,0,0,"[1, 2, 2]","[0, 0, 2]",TRUE
7,CHI,STL,2,5,100,-120,4,2,0,0,"[0, 0, 2]","[1, 2, 2]",FALSE
7,MON,LA,1,5,153,-170,1,5,0,0,"[1, 0, 0]","[1, 0, 4]",FALSE
7,NYI,NYR,4,3,110,-120,2,4,0,0,"[2, 1, 0, 0, 1]","[1, 0, 2, 0, 0]",FALSE
7,PHI,NAS,0,1,-120,110,4,2,0,1,"[0, 0, 0]","[0, 0, 1]",TRUE
7,NAS,PHI,1,0,110,-120,3,3,1,0,"[0, 0, 1]","[0, 0, 0]",FALSE
7,CLB,TB,0,2,-135,125,5,1,0,0,"[0, 0, 0]","[1, 1, 0]",TRUE
7,OTT,NJ,4,5,-150,140,3,3,0,0,"[1, 3, 0, 0]","[2, 0, 2, 1]",TRUE
7,NJ,OTT,5,4,140,-150,5,1,0,0,"[2, 0, 2, 1]","[1, 3, 0, 0]",FALSE
7,CAL,CAR,1,2,-121,111,4,2,0,0,"[0, 0, 1]","[0, 1, 1]",TRUE
7,ARI,DAL,4,5,135,-145,0,6,0,1,"[1, 1, 2]","[2, 0, 3]",TRUE
7,DAL,ARI,5,4,-145,135,3,3,1,0,"[2, 0, 3]","[1, 1, 2]",FALSE
7,VAN,BUF,4,2,150,-160,2,4,0,0,"[1, 2, 1]","[2, 0, 0]",FALSE
7,WIN,MIN,4,3,-113,103,3,3,0,0,"[2, 1, 1]","[1, 2, 0]",TRUE
7,ANA,MON,6,2,101,-111,2,4,0,0,"[3, 0, 3]","[0, 2, 0]",TRUE
7,EDM,PHI,1,2,106,-116,2,4,0,0,"[0, 1, 0]","[1, 0, 1]",FALSE
7,BOS,BUF,4,5,-190,175,3,3,0,0,"[2, 2, 0, 0]","[0, 2, 2, 1]",TRUE
7,SJ,NYI,3,5,125,-135,3,3,0,1,"[0, 2, 1]","[0, 2, 3]",FALSE
7,FLA,WAS,4,1,130,-140,2,4,0,0,"[2, 1, 1]","[0, 1, 0]",FALSE
7,LA,CLB,6,4,136,-146,5,1,0,0,"[2, 2, 2]","[3, 1, 0]",FALSE
7,VEG,STL,3,2,124,-134,5,1,0,0,"[0, 2, 0, 1]","[1, 0, 1, 0]",TRUE
7,CAR,TB,1,5,-115,105,3,3,0,0,"[0, 0, 1]","[1, 1, 3]",TRUE
7,MIN,VAN,0,1,-185,170,2,4,0,0,"[0, 0, 0]","[0, 0, 1]",TRUE
8,NYR,NYI,3,4,-120,110,1,6,0,0,"[1, 0, 2, 0, 0]","[2, 1, 0, 0, 1]",TRUE
8,TB,CLB,2,0,125,-135,5,2,0,0,"[1, 1, 0]","[0, 0, 0]",FALSE
8,CHI,EDM,1,2,-110,100,4,3,0,0,"[1, 0, 0, 0]","[1, 0, 0, 1]",TRUE
8,COL,STL,3,4,100,-110,4,3,0,0,"[1, 0, 2]","[0, 3, 1]",TRUE
8,STL,COL,4,3,-110,100,5,2,0,0,"[0, 3, 1]","[1, 0, 2]",FALSE
8,BUF,VAN,2,4,-160,150,1,6,0,0,"[2, 0, 0]","[1, 2, 1]",TRUE
8,NJ,SJ,0,3,123,-133,6,1,0,0,"[0, 0, 0]","[1, 2, 0]",TRUE
8,DET,WAS,3,4,115,-125,4,3,0,0,"[0, 1, 2, 0]","[0, 1, 2, 1]",TRUE
8,WAS,DET,4,3,-125,115,3,4,0,0,"[0, 1, 2, 1]","[0, 1, 2, 0]",FALSE
8,PIT,FLA,4,3,-115,105,4,3,1,0,"[0, 3, 1]","[2, 0, 1]",FALSE
8,MON,ANA,2,6,-111,101,1,6,0,0,"[0, 2, 0]","[3, 0, 3]",FALSE
8,NAS,NYR,2,4,100,-110,4,3,0,0,"[0, 2, 0]","[2, 1, 1]",FALSE
8,PHI,EDM,2,1,-116,106,4,3,0,0,"[1, 0, 1]","[0, 1, 0]",TRUE
8,OTT,TOR,6,3,105,-115,3,4,0,0,"[1, 2, 3]","[0, 0, 3]",TRUE
8,TOR,OTT,3,6,-115,105,6,1,0,0,"[0, 0, 3]","[1, 2, 3]",FALSE
8,NYI,SJ,5,3,-135,125,3,4,1,0,"[0, 2, 3]","[0, 2, 1]",TRUE
8,CLB,LA,4,6,-146,136,5,2,0,0,"[3, 1, 0]","[2, 2, 2]",TRUE
8,DAL,CAR,4,3,-125,115,4,3,0,0,"[2, 2, 0]","[0, 1, 2]",TRUE
8,ARI,CHI,2,4,142,-152,0,7,0,0,"[1, 1, 0]","[1, 1, 2]",TRUE
8,CAL,MIN,2,4,-147,137,4,3,0,0,"[0, 1, 1]","[0, 1, 3]",TRUE
8,VAN,DET,4,1,130,-150,3,4,0,0,"[1, 3, 0]","[1, 0, 0]",FALSE
8,LA,TOR,2,3,131,-145,6,1,0,0,"[0, 1, 1]","[1, 1, 1]",FALSE
8,SJ,NYR,4,1,100,-120,3,4,0,0,"[2, 1, 1]","[0, 0, 1]",FALSE
8,ANA,PHI,6,2,125,-135,3,4,0,1,"[1, 3, 2]","[1, 0, 1]",FALSE
8,EDM,PIT,1,2,134,-144,2,5,0,0,"[0, 0, 1, 0]","[0, 0, 1, 1]",FALSE
8,FLA,MON,1,5,120,-130,3,4,0,0,"[0, 1, 0]","[0, 3, 2]",FALSE
8,VEG,CHI,4,2,160,-170,6,1,0,0,"[2, 1, 1]","[1, 0, 1]",TRUE
8,BOS,SJ,2,1,-114,104,3,4,0,0,"[1, 1, 0]","[0, 1, 0]",TRUE
8,CAR,TOR,6,3,139,-149,3,4,0,0,"[3, 1, 2]","[1, 2, 0]",FALSE
8,WIN,PIT,1,2,160,-170,4,3,0,0,"[1, 0, 0, 0]","[1, 0, 0, 1]",FALSE
8,MIN,NYI,6,4,-129,119,2,5,0,0,"[3, 1, 2]","[1, 1, 2]",TRUE
9,NYR,NAS,4,2,-110,100,1,7,0,0,"[2, 1, 1]","[0, 2, 0]",TRUE
9,BUF,BOS,5,4,175,-190,1,7,0,0,"[0, 2, 2, 1]","[2, 2, 0, 0]",FALSE
9,TB,PIT,7,1,-137,127,6,2,1,0,"[3, 3, 1]","[0, 0, 1]",TRUE
9,PIT,TB,1,7,127,-137,5,3,0,1,"[0, 0, 1]","[3, 3, 1]",FALSE
9,WAS,FLA,1,4,-140,130,4,4,0,0,"[0, 1, 0]","[2, 1, 1]",TRUE
9,CHI,ARI,4,2,-152,142,4,4,0,0,"[1, 1, 2]","[1, 1, 0]",FALSE
9,STL,VEG,2,3,-134,124,6,2,0,0,"[1, 0, 1, 0]","[0, 2, 0, 1]",FALSE
